YEAR,CBSA,AQI
1980,10420,63.74
1980,10580,45.28
1980,10740,67.61
1980,10780,40.46
1980,10900,75.41
1980,11020,45.88
1980,11100,43.43
1980,11260,59.33
1980,11460,40.64
1980,11540,38.27
1980,11700,55.57
1980,11780,43.05
1980,12060,75.99
1980,12100,74.05
1980,12260,69.65
1980,12300,51.13
1980,12420,44.82
1980,12540,92.81
1980,12580,92.53
1980,12620,37.59
1980,12940,62.16
1980,13020,37.63
1980,13140,63.78
1980,13620,62.21
1980,13740,28.26
1980,13780,36.52
1980,13820,62.56
1980,13860,39.16
1980,13900,34.64
1980,14420,45.93
1980,14460,80.19
1980,14500,35.52
1980,14860,130.62
1980,15180,25.92
1980,15380,50.81
1980,15540,26.32
1980,15580,39.81
1980,15940,52.64
1980,15980,29.79
1980,16060,43.4
1980,16300,34.45
1980,16420,46.73
1980,16580,34.5
1980,16620,39.94
1980,16700,49.14
1980,16740,90.72
1980,16860,60.47
1980,16980,91.3
1980,17020,40.39
1980,17140,82.38
1980,17340,39.26
1980,17460,61.5
1980,17820,59.63
1980,17900,69.23
1980,17980,42.96
1980,18140,70.2
1980,18580,43.84
1980,19060,12.19
1980,19100,79.01
1980,19220,23.76
1980,19340,51.83
1980,19380,57.54
1980,19460,56.94
1980,19500,44.18
1980,19740,98.07
1980,19780,71.56
1980,19820,73.64
1980,20100,38.33
1980,20220,42.57
1980,20260,49.39
1980,20500,52.86
1980,20740,40.1
1980,20940,66.06
1980,21340,60.73
1980,21060,50.44
1980,21300,35.07
1980,21500,55.9
1980,21660,41.3
1980,21780,43.2
1980,21820,48.47
1980,22140,25.03
1980,22380,37.72
1980,22420,35.36
1980,22500,80.45
1980,22660,43.28
1980,23060,50.67
1980,23420,105.61
1980,23540,28.61
1980,24020,34.97
1980,24300,23.04
1980,24340,48.21
1980,24500,37.33
1980,24540,48.13
1980,24580,36.39
1980,24660,59.22
1980,24860,66.46
1980,25180,31.58
1980,25260,41.85
1980,25420,57.99
1980,25540,82.38
1980,25940,34.14
1980,26420,100.71
1980,26580,46.97
1980,26620,62.91
1980,26900,84.03
1980,26980,17.88
1980,27140,54.22
1980,27260,58.29
1980,27500,33.56
1980,27780,62.52
1980,28140,75.79
1980,28300,37.17
1980,28700,64.83
1980,28940,63.86
1980,29100,37.19
1980,29340,39.15
1980,29540,48.54
1980,29620,51.46
1980,29740,41.89
1980,29820,87.15
1980,30340,26.61
1980,30460,58.31
1980,30620,14.68
1980,30700,46.91
1980,30780,52.88
1980,30980,49.12
1980,31080,174.03
1980,31500,20.41
1980,31540,58.91
1980,31580,52.98
1980,31700,62.65
1980,31860,49.15
1980,32100,39.94
1980,32780,82.16
1980,32820,73.45
1980,32860,50.3
1980,33100,78.95
1980,33340,55.11
1980,33460,74.54
1980,33540,59.5
1980,33660,45.36
1980,33700,61.48
1980,33860,61.05
1980,34660,65.68
1980,34740,44.07
1980,34820,57.91
1980,34900,42.43
1980,34980,62.7
1980,35100,43.93
1980,35260,48.26
1980,35300,60.66
1980,35380,45.46
1980,35620,116.98
1980,35840,21.48
1980,36140,67.29
1980,36220,45.59
1980,36260,66.34
1980,36420,55.51
1980,36540,66.34
1980,36740,43.96
1980,36780,41.9
1980,36860,35.83
1980,36980,42.58
1980,37080,101.08
1980,37100,109.89
1980,37140,48.85
1980,37860,48.92
1980,37900,38.7
1980,37980,107.66
1980,38060,85.18
1980,38300,79.09
1980,38340,53.0
1980,38420,35.04
1980,38860,56.59
1980,38900,65.25
1980,39140,46.96
1980,39260,41.01
1980,39300,76.51
1980,39340,63.63
1980,39380,19.53
1980,39500,44.98
1980,39540,38.17
1980,39580,86.48
1980,39740,69.74
1980,39820,57.07
1980,39900,67.98
1980,40060,66.87
1980,40140,163.45
1980,40220,40.62
1980,40340,60.63
1980,40380,42.83
1980,40420,33.15
1980,40900,89.24
1980,40940,56.34
1980,40980,44.57
1980,41420,27.16
1980,41500,42.24
1980,41540,79.99
1980,41620,78.15
1980,41700,54.19
1980,41740,125.23
1980,41860,65.13
1980,41940,65.51
1980,42020,50.22
1980,42100,41.74
1980,42140,26.78
1980,42200,70.0
1980,42220,42.45
1980,42540,66.98
1980,42660,71.99
1980,43100,45.76
1980,43340,39.58
1980,43420,40.62
1980,43580,39.78
1980,43700,41.31
1980,43760,77.08
1980,43780,47.3
1980,44060,87.17
